R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-2.4915000000000003,3.7839,-0.8725,relPos,-15.797410057712362,85.7439,90.7994,147.597
-2.4915000000000003,3.7839,-0.8725,relPos,-15.801247292513292,85.7439,90.7994,147.597
-2.4915000000000003,3.7839,-0.8725,relPos,-15.695420539306573,86.3752,91.5551,147.051
-2.4915000000000003,3.7839,-0.8725,relPos,-15.688119416499315,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.622956948334295,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.54980957482114,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.473618528378188,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.555996243268147,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.488672240556689,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.491198268129619,86.3752,91.5551,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.306287037075027,86.6028,91.5693,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.2699480821423,86.6028,91.5693,147.051
-2.4945,3.8026,-0.8679000000000001,relPos,-15.28365009103487,86.6028,91.5693,148.042
-2.4945,3.8026,-0.8679000000000001,relPos,-15.169097200431574,86.6028,91.5693,148.042
-2.4945,3.8026,-0.8679000000000001,relPos,-15.189221436616961,86.6028,91.5693,148.042
-2.4945,3.8026,-0.8679000000000001,relPos,-15.181075137243514,86.6028,91.5693,148.042
-2.4945,3.8026,-0.8679000000000001,relPos,-15.063530367809769,86.6028,91.5693,148.042
-2.4945,3.8026,-0.8679000000000001,relPos,-15.075227103953313,86.6028,91.5693,147.714
-2.4945,3.8026,-0.8679000000000001,relPos,-15.004932585556809,86.4744,92.1713,147.714
-2.4945,3.8026,-0.8679000000000001,relPos,-14.973892228956107,86.4744,92.1713,147.714
-2.5067,3.8062,-0.8621,relPos,-14.8767262651617,86.4744,92.1713,147.714
-2.5067,3.8062,-0.8621,relPos,-14.853598311650957,86.4744,92.1713,147.714
-2.5067,3.8062,-0.8621,relPos,-14.850769176303423,86.4744,92.1713,147.714
-2.5067,3.8062,-0.8621,relPos,-14.93756218622968,86.4744,92.1713,148.064
-2.5067,3.8062,-0.8621,relPos,-14.993467140264293,86.4744,92.1713,148.064
-2.5067,3.8062,-0.8621,relPos,-14.876953163482359,86.4744,92.1713,148.064
-2.5067,3.8062,-0.8621,relPos,-14.83027982023102,88.4014,92.663,148.064
-2.5067,3.8062,-0.8621,relPos,-14.773520344257122,88.4014,92.663,148.064
-2.5067,3.8062,-0.8621,relPos,-14.78759788579776,88.4014,92.663,148.205
-2.5067,3.8062,-0.8621,relPos,-14.901583550770894,88.4014,92.663,148.205
-2.5067,3.8062,-0.8621,relPos,-14.978875698621948,88.4014,92.663,148.205
-2.5067,3.8062,-0.8621,relPos,-14.941031357621071,88.4014,92.663,148.205
-2.5067,3.8062,-0.8621,relPos,-14.939714247100877,88.4014,92.663,148.205
-2.5067,3.8062,-0.8621,relPos,-14.87166516357676,88.4014,92.663,148.77
-2.5067,3.8062,-0.8621,relPos,-14.984042024326277,87.337,91.8648,148.655
-2.5067,3.8062,-0.8621,relPos,-15.011930360212988,87.337,91.8648,148.655
-2.5067,3.8062,-0.8621,relPos,-15.058835846507838,87.337,91.8648,148.655
-2.5057,3.8117,-0.8632,relPos,-15.136264593021309,87.337,91.8648,148.655
-2.5057,3.8117,-0.8632,relPos,-15.001633364599014,87.337,91.8648,148.655
-2.5057,3.8117,-0.8632,relPos,-15.020318377635913,87.337,91.8648,148.422
-2.5057,3.8117,-0.8632,relPos,-15.08360767125387,87.337,91.8648,148.422
-2.5057,3.8117,-0.8632,relPos,-15.035073494268271,87.337,91.8648,148.422
-2.5057,3.8117,-0.8632,relPos,-15.104045137869505,88.6678,91.8648,148.422
-2.5057,3.8117,-0.8632,relPos,-15.088388127040925,88.6678,91.8648,148.422
-2.5057,3.8117,-0.8632,relPos,-14.978557819785916,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-15.001018277927813,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-15.023479116958118,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-14.953086826520643,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-14.972920371523902,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-14.992384278888052,88.6678,91.8648,149.37
-2.5057,3.8117,-0.8632,relPos,-14.971261597449203,88.1177,92.688,149.412
-2.5057,3.8117,-0.8632,relPos,-15.02745845858497,88.1177,92.688,149.412
-2.5057,3.8117,-0.8632,relPos,-14.965473402920484,88.1177,92.688,149.412
-2.5057,3.8117,-0.8632,relPos,-14.923513324579448,88.1177,92.688,149.412
-2.5179,3.8147,-0.8645999999999999,relPos,-14.960294569264157,88.1177,92.688,149.412
-2.5179,3.8147,-0.8645999999999999,relPos,-14.899003528339172,88.1177,92.688,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.863558515707933,88.1177,92.688,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.892966655589621,88.1177,92.688,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.88397359510607,88.4306,91.5693,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.868341521529738,88.4306,91.5693,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.815426917232802,88.4306,91.5693,148.508
-2.5179,3.8147,-0.8645999999999999,relPos,-14.820042133873166,88.4306,91.5693,148.134
-2.5179,3.8147,-0.8645999999999999,relPos,-14.903446394580191,88.4306,91.5693,148.134
-2.5179,3.8147,-0.8645999999999999,relPos,-14.914843445110385,88.4306,91.5693,148.134
-2.5179,3.8147,-0.8645999999999999,relPos,-14.824861884868861,88.4306,91.5693,148.134
-2.5179,3.8147,-0.8645999999999999,relPos,-14.871093042832042,88.4306,91.5693,148.134
-2.5179,3.8147,-0.8645999999999999,relPos,-14.80945147403103,87.0847,91.5911,149.259
-2.5179,3.8147,-0.8645999999999999,relPos,-14.824786640680717,87.0847,91.5911,149.259
-2.5179,3.8147,-0.8645999999999999,relPos,-14.930374419717129,87.0847,91.5911,149.259
-2.5179,3.8147,-0.8645999999999999,relPos,-14.83102527675495,87.0847,91.5911,149.259
-2.5179,3.8147,-0.8645999999999999,relPos,-14.824628478576223,87.0847,91.5911,149.259
-2.5179,3.8147,-0.8645999999999999,relPos,-14.816136725718136,87.0847,91.5911,148.736
-2.5229,3.8196,-0.8640000000000001,relPos,-14.848448893466182,87.0847,91.5911,148.736
-2.5229,3.8196,-0.8640000000000001,relPos,-14.865831081060863,87.0847,91.5911,148.736
-2.5229,3.8196,-0.8640000000000001,relPos,-14.869093230272314,87.3974,91.5622,148.736
