Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
5.7651,-3.7952,30.6558,-60.679822140861134,357.709,253.301,222.959
5.724600000000001,-3.8285,30.738200000000003,-60.274788374849244,357.23,260.538,223.336
5.7401,-3.8333999999999997,30.792800000000003,-60.38944646348146,357.46,254.745,223.424
5.6921,-3.7859,30.7556,-60.23686001689522,357.7,248.199,223.52
5.6684,-3.7887,30.856399999999997,-60.417133099985065,357.45,254.745,223.428
5.6509,-3.7982,30.9571,-60.45061399756973,357.93,246.038,223.198
5.6,-3.7572,30.8654,-60.267094445413846,357.252,247.38,223.471
5.3812999999999995,-3.7399,30.9245,-60.35457799339591,357.252,247.38,223.133
5.2107,-3.7493,30.9006,-60.304335268438585,357.7,258.69,223.198
5.2895,-3.6873,30.9157,-60.40377143202597,357.491,250.017,223.155
5.4046,-3.6795999999999998,30.999000000000002,-60.26444865136699,357.913,257.471,223.381
5.4829,-3.6814999999999998,31.107,-60.12786971047572,357.691,248.199,222.989
5.3991,-3.7163999999999997,31.3296,-60.16163430368978,357.709,248.199,223.195
5.4052999999999995,-3.7481999999999998,31.5339,-60.135575382113906,357.219,247.38,223.513
5.4879999999999995,-3.6955,31.6017,-60.2916961573709,357.682,258.69,223.426
5.5565,-3.7116000000000002,31.655500000000004,-60.124474332312005,357.252,260.538,223.299
5.613200000000001,-3.7329000000000003,31.666999999999998,-60.413025765014936,356.553,266.186,223.424
5.6221000000000005,-3.7551,31.788600000000002,-60.14822798772241,357.691,264.289,223.031
5.5805,-3.8206,31.8809,-59.934699369956455,357.691,243.435,223.56
5.7465,-3.8198000000000003,31.9408,-60.26337799764265,357.922,251.565,223.164
5.8485000000000005,-3.8298,31.9787,-60.28563786348173,358.152,249.444,222.944
5.6771,-3.803,31.941599999999998,-60.28131614938363,357.219,260.538,223.158
5.643,-3.8006,31.8484,-60.18013365147748,356.987,261.254,223.509
5.4879,-3.7569,31.636999999999997,-60.185427750483925,357.46,254.745,223.251
5.386699999999999,-3.7769999999999997,31.687800000000003,-60.23703730038031,357.491,245.556,223.076
5.323099999999999,-3.8287,31.785,-60.31195791418919,356.975,245.225,224.298
5.3795,-3.8257999999999996,31.8277,-60.033304197772324,357.45,259.695,223.288
5.331799999999999,-3.9189999999999996,31.9898,-60.216467664737685,357.47,254.745,223.161
5.2938,-4.0015,32.2067,-60.326188818015574,357.035,257.005,223.288
5.3343,-4.038399999999999,32.2932,-60.30898809631467,357.709,248.199,222.978
5.2635000000000005,-4.0946,32.3465,-60.19135807964243,357.23,247.38,223.198
5.1101,-4.2263,32.7035,-60.0285404120818,357.45,250.017,223.251
5.1152,-4.3933,32.996900000000004,-60.18491250818368,357.23,255.964,223.286
5.1638,-4.5461,33.3395,-59.83337678382018,356.294,262.875,223.198
4.9869,-4.6688,33.573499999999996,-60.243153447566954,357.938,251.565,223.433
4.9349,-4.6857,33.567,-59.98178448712235,357.011,245.225,222.947
4.9264,-4.6827,33.5201,-60.19027434077952,357.46,264.806,223.056
4.9406,-4.6567,33.385,-60.16115262027025,357.252,260.538,223.167
4.8898,-4.7638,33.4763,-60.09076438291318,357.672,258.69,223.167
4.8007,-4.757,33.325,-60.099475280853255,356.807,261.87,223.206
4.852799999999999,-4.8071,33.374,-59.89329050532106,358.383,254.055,223.167
4.9733,-4.7876,33.3575,-60.20978751350715,357.46,259.695,223.203
4.9021,-4.8441,33.4226,-60.07284187018983,357.241,265.236,223.341
4.823,-4.9048,33.4745,-60.19362897185944,357.922,251.565,223.304
4.8085,-4.9806,33.5128,-60.13651308280615,357.011,248.963,223.381
4.7911,-5.0175,33.4733,-60.00683492338296,357.219,251.565,223.082
4.6631,-5.0179,33.3776,-60.00023293701061,357.7,253.301,223.028
4.5603,-4.962,33.034099999999995,-60.0107634444648,357.241,260.538,223.195
4.5858,-5.0224,33.0967,-60.04993506062376,356.323,249.444,223.341
4.5586,-5.1248000000000005,33.1896,-60.18866519249737,357.196,247.38,222.98
4.534800000000001,-5.2319,33.3777,-59.85757344955135,357.196,247.38,222.986
4.5239,-5.2361,33.3124,-59.84797984891226,357.47,259.695,223.254
4.5177,-5.214099999999999,33.2318,-60.161060709357656,357.241,255.964,223.56
4.4449000000000005,-5.2111,33.1215,-59.95690674142284,357.241,260.538,223.167
4.3395,-5.2191,33.0239,-60.038193067511656,357.252,247.38,223.77
4.2596,-5.209199999999999,32.829,-60.12097943426801,357.252,247.38,223.516
4.2421,-5.2768,32.8263,-60.116159123829505,357.252,260.538,223.648
4.1639,-5.3403,32.8429,-60.0872158955429,357.45,254.745,223.211
4.0982,-5.3978,32.896,-60.239384381448176,357.7,248.199,223.349
3.9608,-5.4277999999999995,32.7525,-59.92609827823695,357.23,255.964,222.863
3.8316000000000003,-5.540299999999999,32.9009,-60.013694601583495,358.152,262.875,223.376
3.6793,-5.6599,33.0972,-60.1786208583201,357.46,254.745,223.516
3.6129000000000002,-5.8229,33.3631,-60.24325755596127,357.682,253.301,223.336
3.6069,-5.9682,33.539,-60.1033368514165,357.023,248.963,222.73
3.5507,-5.9645,33.4015,-60.03889077046778,358.145,249.444,223.419
3.4024,-6.004,33.3634,-59.85134702269675,357.035,252.897,223.209
3.2302,-6.0796,33.3623,-60.137093953813824,357.252,251.565,223.025
3.0927,-6.13,33.3903,-60.023334446474905,357.481,250.017,223.461
3.0255,-6.1752,33.4069,-60.06593802043794,357.47,245.556,223.518
2.9662,-6.2063999999999995,33.4084,-60.11915216068746,357.45,259.695,223.288
2.971,-6.2369,33.4077,-60.02556880143919,356.553,266.186,223.167
3.035,-6.2395000000000005,33.3756,-60.20709385892894,357.023,252.897,223.243
2.9734,-6.3471,33.5637,-59.98871271185324,357.219,251.565,223.381
2.9183999999999997,-6.5036000000000005,33.8386,-60.04423482467901,357.011,248.963,223.333
2.9246,-6.5483,33.972,-59.95366130789066,357.653,258.69,223.69
2.9217,-6.666,34.1912,-59.98077115234587,357.653,258.69,223.378
2.9973,-6.7817,34.4559,-60.111698445842535,357.241,251.565,223.785
3.0055,-6.8366,34.6165,-60.20055284100316,357.672,248.199,223.076
2.9457999999999998,-6.862100000000001,34.7095,-60.04077428747961,357.035,248.963,222.947
2.8432,-6.8083,34.6657,-59.90582539832446,357.23,251.565,223.336
2.907,-6.755199999999999,34.6299,-59.85617847930746,356.795,261.87,223.323
2.9198000000000004,-6.6821,34.5343,-59.92222647202539,357.252,251.565,222.937
2.9851,-6.7534,34.6966,-59.90802909623806,356.566,255.069,223.331
3.0589999999999997,-6.8245000000000005,34.94,-60.14859551621538,357.011,257.005,223.189
2.924,-6.945,35.1344,-60.12015706601435,357.691,258.69,222.947
2.7832,-6.9891,35.246900000000004,-59.878707392299695,357.161,247.38,223.209
2.8256,-7.0665,35.463499999999996,-60.09064307039516,357.7,248.199,223.116
2.7781000000000002,-7.045599999999999,35.4796,-59.89837144376363,357.46,250.017,223.248
2.7376,-7.1038,35.6164,-60.22070451629542,357.7,243.435,223.599
2.7068,-7.1257,35.6699,-60.28173759075994,357.938,257.471,222.986
2.5663,-7.2040999999999995,35.9475,-59.719729762588365,357.691,258.69,223.243
2.5622000000000003,-7.227,36.0779,-60.122299927553726,357.481,270.0,223.164
2.5986000000000002,-7.2204999999999995,36.1042,-60.228650012864186,357.481,270.0,223.209
2.5542,-7.3191999999999995,36.4314,-59.9568089703729,357.719,248.199,222.998
2.5146,-7.3449,36.438,-60.09089515214981,356.769,250.346,223.022
2.4746,-7.2819,36.3007,-60.22732800522641,357.23,251.565,222.853
2.4667,-7.3925,36.536100000000005,-60.02837143842328,356.769,261.87,223.246
2.5125,-7.5275,36.8598,-60.13434282863223,357.913,251.565,223.605
2.4785,-7.6282000000000005,37.0429,-60.097808206945054,357.719,248.199,223.256
2.5633999999999997,-7.6851,37.2374,-60.09584932124413,357.219,260.538,223.068
2.62,-7.7822000000000005,37.4401,-60.10441902284547,357.252,255.964,223.119
2.6925,-7.7191,37.2733,-60.02407910374483,357.46,245.556,223.198
2.761,-7.7691,37.380300000000005,-60.062610422355704,357.709,253.301,223.776
2.7939999999999996,-7.831900000000001,37.6167,-60.038910697588996,357.47,250.017,223.383
2.8769,-7.816,37.6398,-60.1472877544829,358.631,243.435,223.686
2.8967,-7.9414,37.9843,-59.93078040967498,357.219,265.236,223.294
2.8918,-7.9910000000000005,38.2385,-60.099596208851395,357.93,251.565,223.113
2.905,-7.9487,38.1723,-60.1117288418899,357.47,259.695,223.022
2.8275,-8.025,38.4035,-59.99146178348056,357.47,254.745,222.977
2.7763,-8.1511,38.725,-60.116909725722024,357.263,255.964,223.461
2.7935000000000003,-8.2888,39.1263,-60.05165349267831,357.481,245.556,223.113
2.8842000000000003,-8.416599999999999,39.5465,-60.258239583271745,358.377,234.462,223.076
2.8651999999999997,-8.5937,40.083800000000004,-60.05815433987812,357.47,245.556,223.116
2.7763999999999998,-8.7143,40.4604,-60.16245431324037,357.23,247.38,223.378
2.7607999999999997,-8.7989,40.7012,-60.067572530591676,357.23,251.565,222.86
2.7436000000000003,-8.8223,40.8345,-59.96146531525323,357.719,258.69,223.195
2.7880000000000003,-8.8317,40.898,-60.05297275067434,357.241,251.565,222.856
2.8552999999999997,-8.7864,40.8287,-60.08326796631366,357.691,253.301,223.15
2.9402999999999997,-8.7373,40.8269,-60.106017488846966,357.7,258.69,223.15
2.8903,-8.7654,41.0041,-60.18675768013189,357.241,255.964,223.214
2.7355,-8.9125,41.3345,-59.94167004591412,356.999,252.897,223.421
2.5848,-9.0471,41.6423,-60.037535940683284,356.999,257.005,223.567
2.4184,-9.0184,41.6725,-60.05808428563186,357.46,245.556,223.206
2.425,-9.0844,41.945100000000004,-60.02309649334262,357.7,258.69,223.259
2.3865,-9.1417,42.12520000000001,-60.08219136630308,358.608,251.565,223.391
2.4658,-9.2222,42.411300000000004,-60.204712402516556,358.608,251.565,223.391
2.5109,-9.322799999999999,42.6892,-60.009308194080134,356.566,258.69,223.161
2.5253,-9.4376,43.10060000000001,-59.92050000989834,357.241,255.964,222.681
2.4997,-9.5413,43.391999999999996,-60.09251922450487,357.219,247.38,223.172
2.474,-9.5794,43.5594,-59.883280704300915,357.481,241.39,223.073
2.4005,-9.681799999999999,43.9033,-60.04729878929688,356.769,254.055,223.195
2.456,-9.6903,44.009899999999995,-59.97160780612006,357.7,253.301,223.588
2.2489,-9.756,44.2029,-60.1323877589195,357.011,265.601,223.468
2.1568,-9.7795,44.3882,-60.173201127935585,,,
2.1088,-9.8458,44.658100000000005,-59.99671846433834,357.219,247.38,223.028
2.0118,-9.8664,44.7389,-60.13250992499526,357.011,252.897,223.424
1.9715,-9.843,44.806000000000004,-60.17627552726381,356.756,261.87,223.556
1.9317,-9.801499999999999,44.8138,-59.932209578849196,357.46,250.017,223.206
1.9061000000000001,-9.7599,44.7574,-59.99876115802795,357.46,250.017,223.294
1.9444,-9.8135,44.9312,-59.89630762186671,357.691,248.199,223.414
2.0927000000000002,-9.8819,45.2466,-60.06490548755256,357.946,257.471,223.291
2.1282,-9.9182,45.421899999999994,-59.98461711762323,357.922,236.31,223.206
2.2323,-9.946,45.5198,-60.22379129662626,357.672,248.199,223.331
2.1937,-10.073500000000001,45.836099999999995,-60.143570638889955,357.252,255.964,223.294
2.094,-10.1238,46.0343,-60.252134217291285,357.219,247.38,223.502
2.0774,-10.1337,46.1376,-60.00641924302098,357.682,239.036,223.378
2.0158,-10.099,46.0977,-59.889159038718375,357.241,255.964,223.424
