R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.726018236570305,88.1265,90.8031,160.942
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.663852434541448,88.1265,90.8031,162.361
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.72144093421899,88.1265,90.8031,162.361
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.77534058620087,88.3788,90.8107,162.361
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.710322793026913,88.3788,90.8107,162.361
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.697578028962255,88.3788,90.8107,162.361
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.654303353815648,88.3788,90.8107,162.114
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.671138175513065,88.3788,90.8107,162.114
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.64337793739038,88.3788,90.8107,162.114
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.734897334510368,88.3788,90.8107,162.114
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.584276189948222,88.6678,91.3322,162.114
-1.7794999999999999,3.3106999999999998,-0.9773000000000001,relPos,-14.720931143440815,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.575978154270707,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.49329745336691,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.546241296315046,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.53753689980497,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.538559229575647,88.6678,91.3322,162.274
-1.7819,3.3062,-0.9821,relPos,-14.451534742540384,88.6678,91.3322,162.734
-1.7819,3.3062,-0.9821,relPos,-14.30526066007161,89.467,91.8648,162.734
-1.7819,3.3062,-0.9821,relPos,-14.400817114059272,89.467,91.8648,162.734
-1.7819,3.3062,-0.9821,relPos,-14.290207184585316,89.467,91.8648,162.734
-1.7819,3.3062,-0.9821,relPos,-14.320919151516874,89.467,91.8648,162.734
-1.7819,3.3062,-0.9821,relPos,-14.454567381542624,89.467,91.8648,162.75
-1.7819,3.3062,-0.9821,relPos,-14.308737661086582,89.467,91.8648,162.75
-1.7819,3.3062,-0.9821,relPos,-14.325225496317863,89.467,91.8648,162.75
-1.7819,3.3062,-0.9821,relPos,-14.354894683123343,89.467,91.8648,162.75
-1.7819,3.3062,-0.9821,relPos,-14.32434330415596,89.467,91.8648,162.75
-1.7784,3.3032,-0.9936,relPos,-14.29589765036482,88.6678,91.8648,162.75
-1.7784,3.3032,-0.9936,relPos,-14.319047077196565,88.6678,91.8648,162.587
-1.7784,3.3032,-0.9936,relPos,-14.385035771787308,88.6678,91.8648,162.587
-1.7784,3.3032,-0.9936,relPos,-14.40003807420627,88.6678,91.8648,162.587
-1.7784,3.3032,-0.9936,relPos,-14.4277601648007,88.6678,91.8648,162.587
-1.7784,3.3032,-0.9936,relPos,-14.45466580792804,88.6678,91.8648,162.587
-1.7784,3.3032,-0.9936,relPos,-14.482050791497144,88.6678,91.8648,161.723
-1.7784,3.3032,-0.9936,relPos,-14.487585229064603,88.6678,91.8648,161.723
-1.7784,3.3032,-0.9936,relPos,-14.476173634292346,88.9391,91.5911,161.723
-1.7784,3.3032,-0.9936,relPos,-14.478223014337706,88.9391,91.5911,161.723
-1.7784,3.3032,-0.9936,relPos,-14.566383134656881,88.9391,91.5911,161.723
-1.7784,3.3032,-0.9936,relPos,-14.463382422057993,88.9391,91.5911,162.189
-1.7784,3.3032,-0.9936,relPos,-14.36392241228865,88.9391,91.5911,162.189
-1.7784,3.3032,-0.9936,relPos,-14.349315268888425,88.9391,91.5911,162.189
-1.7784,3.3032,-0.9936,relPos,-14.39947720747478,88.9391,91.5911,162.189
-1.7784,3.3032,-0.9936,relPos,-14.40226108870288,88.9391,91.5911,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.385616982706521,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.38325903665782,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.365496183501197,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.421990680257613,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.389326185013388,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.469244263985603,88.9439,91.056,162.189
-1.7821,3.3087999999999997,-0.9889,relPos,-14.375521252755863,88.9439,91.056,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.421624289217288,88.9439,91.056,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.300838764874593,89.4695,91.8561,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.284120921367279,89.4695,91.8561,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.344603308234392,89.4695,91.8561,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.378076168152349,89.4695,91.8561,162.361
-1.7821,3.3087999999999997,-0.9889,relPos,-14.415159174001577,89.4695,91.8561,161.643
-1.7821,3.3087999999999997,-0.9889,relPos,-14.391773598956108,89.4695,91.8561,161.643
-1.7821,3.3087999999999997,-0.9889,relPos,-14.520334882530754,89.4695,91.8561,161.643
-1.7821,3.3087999999999997,-0.9889,relPos,-14.506732332687431,89.4695,91.8561,161.643
-1.7821,3.3087999999999997,-0.9889,relPos,-14.553477919957455,89.2006,91.5985,161.643
-1.7821,3.3087999999999997,-0.9889,relPos,-14.463058299017742,89.2006,91.5985,161.798
-1.7821,3.3087999999999997,-0.9889,relPos,-14.583159379145112,89.2006,91.5985,161.798
-1.7884,3.3102,-1.0027,relPos,-14.511959679373359,89.2006,91.5985,161.798
-1.7884,3.3102,-1.0027,relPos,-14.596513372020755,89.2006,91.5985,161.798
-1.7884,3.3102,-1.0027,relPos,-14.442425887177258,89.2006,91.5985,161.798
-1.7884,3.3102,-1.0027,relPos,-14.498591547996485,89.2006,91.5985,163.443
-1.7884,3.3102,-1.0027,relPos,-14.38132912122607,89.2006,91.5985,163.443
-1.7884,3.3102,-1.0027,relPos,-14.477298419807772,89.2079,92.3749,163.443
-1.7884,3.3102,-1.0027,relPos,-14.416305445381393,89.2079,92.3749,163.443
-1.7884,3.3102,-1.0027,relPos,-14.490546185267704,89.2079,92.3749,163.443
-1.7884,3.3102,-1.0027,relPos,-14.383564495671822,89.2079,92.3749,160.78
-1.7884,3.3102,-1.0027,relPos,-14.45891888611361,89.2079,92.3749,160.78
-1.7884,3.3102,-1.0027,relPos,-14.407478496955653,89.2079,92.3749,160.78
-1.7884,3.3102,-1.0027,relPos,-14.517947881774294,89.2079,92.3749,160.78
-1.7884,3.3102,-1.0027,relPos,-14.486680516137994,89.2079,92.3749,160.78
-1.7884,3.3102,-1.0027,relPos,-14.451056231806273,88.9439,91.5838,160.78
-1.785,3.3048,-0.9987,relPos,-14.534917200378686,88.9439,91.5838,161.725
-1.785,3.3048,-0.9987,relPos,-14.539826263420842,88.9439,91.5838,161.725
-1.785,3.3048,-0.9987,relPos,-14.596226361598813,88.9439,91.5838,161.725
-1.785,3.3048,-0.9987,relPos,-14.573032298935399,88.9439,91.5838,161.725
-1.785,3.3048,-0.9987,relPos,-14.620714535251686,88.9439,91.5838,161.725
-1.785,3.3048,-0.9987,relPos,-14.670550372793139,88.9439,91.5838,161.565
-1.785,3.3048,-0.9987,relPos,-14.797130292016705,88.9439,91.5838,161.565
-1.785,3.3048,-0.9987,relPos,-14.712100274786783,90.0,92.6507,161.565
-1.785,3.3048,-0.9987,relPos,-14.670385873420702,90.0,92.6507,161.565
-1.785,3.3048,-0.9987,relPos,-14.616208482106721,90.0,92.6507,161.565
-1.785,3.3048,-0.9987,relPos,-14.642181336739569,90.0,92.6507,161.565
-1.785,3.3048,-0.9987,relPos,-14.570262507453709,90.0,92.6507,161.882
-1.785,3.3048,-0.9987,relPos,-14.60980596048016,90.0,92.6507,161.882
-1.785,3.3048,-0.9987,relPos,-14.76483158942964,90.0,92.6507,161.882
-1.785,3.3048,-0.9987,relPos,-14.647749229075016,90.0,92.6507,161.882
-1.785,3.3048,-0.9987,relPos,-14.624653911791905,90.0,92.6507,161.882
-1.785,3.3048,-0.9987,relPos,-14.571859847306124,88.9035,91.0964,161.882
-1.785,3.3048,-0.9987,relPos,-14.671728429650528,88.9035,91.0964,161.565
-1.7859,3.3084,-0.9965,relPos,-14.675595674035808,88.9035,91.0964,161.565
-1.7859,3.3084,-0.9965,relPos,-14.667517768850127,88.9035,91.0964,161.565
-1.7859,3.3084,-0.9965,relPos,-14.65056358807658,88.9035,91.0964,161.565
-1.7859,3.3084,-0.9965,relPos,-14.677154460664955,88.9035,91.0964,161.565
-1.7859,3.3084,-0.9965,relPos,-14.66983699447072,88.9035,91.0964,162.114
-1.7859,3.3084,-0.9965,relPos,-14.729152066393228,88.9035,91.0964,162.114
-1.7859,3.3084,-0.9965,relPos,-14.701852282309101,90.5405,91.8911,162.114
-1.7859,3.3084,-0.9965,relPos,-14.74683874751263,90.5405,91.8911,162.114
-1.7859,3.3084,-0.9965,relPos,-14.836501414227099,90.5405,91.8911,162.114
-1.7859,3.3084,-0.9965,relPos,-14.89107586903713,90.5405,91.8911,161.407
-1.7859,3.3084,-0.9965,relPos,-14.982859270225006,90.5405,91.8911,161.407
-1.7859,3.3084,-0.9965,relPos,-14.963250836490296,90.5405,91.8911,161.407
-1.7859,3.3084,-0.9965,relPos,-15.095833631586398,90.5405,91.8911,161.407
-1.7859,3.3084,-0.9965,relPos,-15.050868470319365,90.5405,91.8911,161.407
-1.7859,3.3084,-0.9965,relPos,-15.092101445011386,90.0,91.6288,161.407
-1.7859,3.3084,-0.9965,relPos,-15.194513216810604,90.0,91.6288,161.882
-1.7859,3.3084,-0.9965,relPos,-15.125752842279462,90.0,91.6288,161.882
-1.7859,3.3084,-0.9965,relPos,-15.314353171485187,90.0,91.6288,161.882
-1.7859,3.3084,-0.9965,relPos,-15.438170579827348,90.0,91.6288,161.882
-1.7859,3.3084,-0.9965,relPos,-15.431719898329693,90.0,91.6288,161.882
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.459241253566336,90.0,91.6288,161.882
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.524183658474067,90.0,91.6288,161.327
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.552441872015478,90.0,91.6602,161.327
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.542713845953354,88.8821,91.3972,161.327
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.730010254387865,88.8821,91.3972,161.327
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.778848008099606,88.8821,91.3972,161.327
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.75922608374354,88.8821,91.3972,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.80071395887849,88.8821,91.3972,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.873271179764942,88.8821,91.3972,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-15.903411971204049,88.8821,91.3972,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.10286325182255,88.8821,91.3972,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.087022785584903,89.7347,90.7957,159.91
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.164376196976164,89.7347,90.7957,160.211
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.319376069210783,89.7347,90.7957,160.211
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.406945401686638,89.7347,90.7957,160.211
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.652734757202413,89.7347,90.7957,160.211
-1.7868000000000002,3.3076999999999996,-0.9779000000000001,relPos,-16.856025152408623,89.7347,90.7957,160.211
-1.7918,3.3171,-0.9697,relPos,-16.890444123576195,89.7347,90.7957,160.039
-1.7918,3.3171,-0.9697,relPos,-16.90939399988576,89.7347,90.7957,160.039
-1.7918,3.3171,-0.9697,relPos,-17.009892258165685,88.9241,91.0758,160.039
-1.7918,3.3171,-0.9697,relPos,-17.216508353581823,88.9241,91.0758,160.039
-1.7918,3.3171,-0.9697,relPos,-17.316778272567827,88.9241,91.0758,160.039
