Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
-1.143,9.3429,-2.6955,-57.98412616585411,355.292,251.565,100.524
-1.143,9.3429,-2.6955,-58.00402536560747,355.292,251.565,100.524
-1.1432,9.3402,-2.696,-58.06176035087648,357.7,231.34,100.101
-1.1377,9.3406,-2.6957999999999998,-58.19528332403026,355.746,251.565,101.353
-1.1408,9.337200000000001,-2.6935000000000002,-58.0942028432974,,,
-1.1408,9.337200000000001,-2.6935000000000002,-58.12038211068648,355.865,254.476,100.483
-1.136,9.340499999999999,-2.6899,-58.24733676819054,356.438,262.405,101.889
-1.1298000000000001,9.338,-2.6883,-58.1889468333123,356.094,242.103,101.136
-1.131,9.3401,-2.6894,-58.092827359754395,357.888,221.987,101.31
-1.1244,9.3373,-2.6895,-58.050064809351625,356.079,247.62,101.659
-1.126,9.338,-2.6902,-58.06868640198565,356.62,255.069,100.606
-1.1305,9.3408,-2.6908999999999996,-58.11677043009084,356.063,253.61,99.7978
-1.1305,9.3408,-2.6908999999999996,-58.14351835454487,356.063,253.61,99.7978
-1.1223,9.3403,-2.694,-58.2873280159957,355.882,257.471,100.961
-1.1175,9.3384,-2.6918,-58.14720351670189,355.882,257.471,102.794
-1.1175,9.3384,-2.6918,-58.09179593347808,355.882,257.471,102.794
-1.1164,9.3402,-2.6921,-57.95166040538718,355.865,257.471,100.524
-1.1194,9.3453,-2.6895,-57.88309190702059,355.444,264.289,101.485
-1.1194,9.3453,-2.6895,-58.09396686737651,355.444,264.289,101.485
-1.1162,9.340399999999999,-2.687,-57.87532309911268,356.11,237.095,101.969
-1.1117,9.3398,-2.6908999999999996,-57.83005907854994,357.23,255.964,101.535
-1.1147,9.3402,-2.6914,-57.97112673803224,356.141,263.29,100.164
-1.1147,9.3402,-2.6914,-57.991183948551736,356.141,263.29,100.164
-1.1111,9.3415,-2.6944999999999997,-57.880133175481745,356.857,261.87,101.353
-1.1101,9.3441,-2.6954000000000002,-58.01164696202215,357.058,238.393,101.877
-1.1101,9.3441,-2.6954000000000002,-57.80144115064968,357.058,238.393,101.957
-1.1140999999999999,9.3419,-2.6956,-57.998035633720725,356.729,246.801,101.051
-1.107,9.3351,-2.7024,-57.79081704880486,,,
-1.107,9.3351,-2.7024,-57.905787351304134,356.857,261.87,100.919
-1.105,9.3398,-2.7042,-57.855256340849834,355.474,261.027,99.4256
-1.1101,9.3347,-2.7061,-57.81890464319243,357.207,233.13,100.877
-1.1053,9.3311,-2.7094,-57.70541366639009,357.047,238.393,100.047
-1.1098999999999999,9.329600000000001,-2.7108999999999996,-57.901625219692356,357.682,235.008,100.426
-1.1081,9.3277,-2.7129000000000003,-57.94136971201802,355.849,251.565,102.456
-1.1165,9.3311,-2.7089999999999996,-58.28757431992159,355.462,258.69,100.954
-1.1165,9.3311,-2.7089999999999996,-58.176443461655836,355.462,258.69,100.954
-1.1142,9.3337,-2.7025,-58.33331193836485,354.665,260.538,102.284
-1.1143,9.3348,-2.7006,-58.0828955971673,354.68,253.073,101.659
-1.1143,9.3348,-2.7006,-58.03536527808489,354.68,253.073,101.659
-1.1117,9.337200000000001,-2.7006,-58.17384828504274,355.898,251.565,101.936
-1.1117,9.337200000000001,-2.7006,-58.088558059322224,356.634,244.983,101.936
-1.1028,9.3376,-2.7009,-58.12884018488549,353.634,253.496,101.485
-1.1079999999999999,9.3347,-2.7001999999999997,-57.986528857622005,356.338,259.38,101.441
-1.1079999999999999,9.3347,-2.7001999999999997,-58.235210281902894,354.56,249.444,101.441
-1.1066,9.33,-2.6984,-58.099095566093936,355.352,243.435,101.741
-1.1066,9.33,-2.6984,-58.02822872531284,355.352,243.435,101.741
-1.1039,9.3312,-2.6959,-57.882594602197756,353.558,248.552,102.189
-1.1042,9.3335,-2.6976999999999998,-57.94960293248981,354.495,241.557,101.923
-1.101,9.3242,-2.6902,-58.26469283905346,354.538,247.38,101.911
-1.1042,9.317,-2.6806,-58.17069083757586,355.462,245.772,103.434
-1.0992,9.32,-2.6814,-58.21734908233947,355.198,238.241,101.659
-1.0963,9.3201,-2.6807999999999996,-58.30765966759672,356.438,239.036,101.136
