R_N/Lon,R_E/Lat,R_D/Hgt,PosType,PowerRx,XZ,YZ,MAG
-15.4069,2.5297,14.1165,relPos,-60.318796544272075,19.179,10.9368,303.717
-15.4069,2.5297,14.1165,relPos,-60.192348545847416,19.179,10.9368,303.717
-15.4069,2.5297,14.1165,relPos,-60.12909057320303,18.8861,10.7204,303.717
-74.0827972,4.6391605,2566680,absPos,-60.19483715747343,18.8861,10.7204,303.147
-74.0827972,4.6391605,2566680,absPos,-60.25458371050991,18.8861,10.7204,303.147
-74.0827972,4.6391605,2566680,absPos,-60.146051872947794,18.8861,10.7204,303.147
-74.0827972,4.6391605,2566680,absPos,-60.09618247140155,18.8861,10.7204,303.147
-74.0827972,4.6391605,2566680,absPos,-60.00805159654821,18.8861,10.7204,303.147
-74.0827972,4.6391605,2566680,absPos,-60.2036046290943,18.8861,10.7204,303.717
-15.345899999999999,2.4807,14.194700000000001,relPos,-59.67048800316398,18.8861,10.7204,303.717
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.07064265991988,19.3348,10.9886,303.717
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.03184168684267,19.3348,10.9886,303.717
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.02105162668884,19.3348,10.9886,303.717
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.08843514456042,19.3348,10.9886,303.39
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.07836833824537,19.3348,10.9886,303.39
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.27800892543187,19.3348,10.9886,303.39
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.18190471343152,19.3348,10.9886,303.39
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.15661480088818,19.3348,10.9886,303.39
-15.345899999999999,2.4807,14.194700000000001,relPos,-60.22353138204993,18.8861,10.7715,303.39
-74.0827975,4.6391607,2566552,absPos,-60.13957148928081,18.8861,10.7715,303.635
-74.0827975,4.6391607,2566552,absPos,-59.80538365792899,18.8861,10.7715,303.635
-74.0827975,4.6391607,2566552,absPos,-60.003315106240684,18.8861,10.7715,303.635
-74.0827975,4.6391607,2566552,absPos,-60.152214666257976,18.8861,10.7715,303.635
-74.0827975,4.6391607,2566552,absPos,-60.220257790465695,18.8861,10.7715,303.635
-74.0827975,4.6391607,2566552,absPos,-60.132560828541095,18.8861,10.7715,303.499
-74.0827975,4.6391607,2566552,absPos,-59.952811408767516,18.8861,10.7715,303.499
-15.3253,2.4472,14.3227,relPos,-59.91603233610484,19.3348,11.0409,303.499
-15.3253,2.4472,14.3227,relPos,-60.047598285004035,19.3348,11.0937,303.499
-15.3253,2.4472,14.3227,relPos,-60.108335614039675,19.3348,11.0937,303.499
-15.3253,2.4472,14.3227,relPos,-60.168712624120474,19.3348,11.0937,303.635
-15.3253,2.4472,14.3227,relPos,-59.98993447767566,19.3348,11.0937,303.635
-15.3253,2.4472,14.3227,relPos,-60.085936555965404,19.3348,11.0937,303.635
-15.3253,2.4472,14.3227,relPos,-60.00619179462351,19.3348,11.0937,303.635
-15.3253,2.4472,14.3227,relPos,-59.88958229720927,19.3348,11.0937,303.635
-15.3253,2.4472,14.3227,relPos,-60.34396093892408,20.2249,11.4695,303.635
-74.0827982,4.6391616,2566500,absPos,-60.12671019280291,20.2249,11.4695,303.226
-74.0827982,4.6391616,2566500,absPos,-60.193164374567225,20.2249,11.4695,303.226
-74.0827982,4.6391616,2566500,absPos,-60.259130448319105,20.2249,11.4695,303.226
-74.0827982,4.6391616,2566500,absPos,-60.16884608247965,20.2249,11.4695,303.226
-74.0827982,4.6391616,2566500,absPos,-60.37236974291907,20.2249,11.4695,303.226
-74.0827982,4.6391616,2566500,absPos,-60.03385183337218,20.2249,11.4695,303.526
-74.0827982,4.6391616,2566500,absPos,-60.0975557236214,20.2249,11.4695,303.526
-15.2296,2.3735,14.3748,relPos,-60.291242069543415,19.493,11.0409,303.526
-15.2296,2.3735,14.3748,relPos,-59.99760660807151,19.493,11.0409,303.526
-15.2296,2.3735,14.3748,relPos,-60.101294608342656,19.493,11.0409,303.526
-15.2296,2.3735,14.3748,relPos,-59.98568025347046,19.493,11.0409,303.526
-15.2296,2.3735,14.3748,relPos,-60.182852150043125,19.493,11.0409,303.306
-15.2296,2.3735,14.3748,relPos,-59.89231747524292,19.493,11.0409,303.306
-15.2296,2.3735,14.3748,relPos,-60.367885663464016,19.493,11.0409,303.306
-15.2296,2.3735,14.3748,relPos,-60.041631608039125,19.493,11.0409,303.306
-15.2296,2.3735,14.3748,relPos,-60.136981849850024,19.493,11.0409,303.306
-74.0827987,4.639162,2566397,absPos,-60.2161867819483,19.0412,10.7204,303.389
-74.0827987,4.639162,2566397,absPos,-60.026592644138155,19.0412,10.7204,303.389
-74.0827987,4.639162,2566397,absPos,-60.016181694575465,19.0412,10.7204,303.389
-74.0827987,4.639162,2566397,absPos,-60.11174910603966,19.0412,10.7204,303.389
-74.0827987,4.639162,2566397,absPos,-60.18523195120891,19.0412,10.7204,303.389
-74.0827987,4.639162,2566397,absPos,-60.22229440186565,19.0412,10.7204,303.553
-74.0827987,4.639162,2566397,absPos,-60.21927067636069,19.0412,10.7204,303.553
-74.0827987,4.639162,2566397,absPos,-60.22489383224816,19.0412,10.7204,303.553
-74.0827987,4.639162,2566397,absPos,-60.201307829590114,19.6538,11.0409,303.553
-74.0827987,4.639162,2566397,absPos,-59.90808740551408,19.6538,11.0409,303.553
-74.0827992,4.6391625,2566355,absPos,-60.32286886482076,19.6538,11.0409,303.553
-15.1253,2.26,14.519200000000001,relPos,-60.169318352683945,19.6538,11.0409,303.311
-15.1253,2.26,14.519200000000001,relPos,-59.931908214359844,19.6538,11.0409,303.311
-15.1253,2.26,14.519200000000001,relPos,-59.99490296064187,19.6538,11.0409,303.311
-15.1253,2.26,14.519200000000001,relPos,-60.036808890154624,19.6538,11.0409,303.311
-15.1253,2.26,14.519200000000001,relPos,-60.014516869146924,19.6538,11.0409,303.311
-15.1253,2.26,14.519200000000001,relPos,-60.213935510880106,19.0412,10.7204,303.58
-15.1253,2.26,14.519200000000001,relPos,-59.977734407926874,19.0412,10.7204,303.58
-15.1253,2.26,14.519200000000001,relPos,-59.89937507838747,19.0412,10.7204,303.58
-15.1253,2.26,14.519200000000001,relPos,-60.212918719761,19.0412,10.7204,303.58
-74.0827998,4.6391633,2566290,absPos,-60.17364336045954,19.0412,10.7204,303.58
-74.0827998,4.6391633,2566290,absPos,-60.35676435390128,19.0412,10.7204,303.58
-74.0827998,4.6391633,2566290,absPos,-60.081969663245054,19.0412,10.7204,303.827
-74.0827998,4.6391633,2566290,absPos,-60.06011631770059,19.0412,10.7204,303.827
-74.0827998,4.6391633,2566290,absPos,-59.943609330453064,19.9037,11.6336,303.827
-15.0406,2.1997999999999998,14.584100000000001,relPos,-59.79786432671091,19.9037,11.6336,303.827
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.24272529131805,19.9037,11.6336,303.827
-15.0406,2.1997999999999998,14.584100000000001,relPos,-59.84455782045505,19.9037,11.6336,303.39
-15.0406,2.1997999999999998,14.584100000000001,relPos,-59.81627534488037,19.9037,11.6336,303.39
-15.0406,2.1997999999999998,14.584100000000001,relPos,-59.790753497249256,19.9037,11.6336,303.39
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.25108784653028,19.9037,11.6336,303.39
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.174959083814024,19.9037,11.6336,303.39
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.10512713139936,19.3348,10.9886,303.226
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.20453643364195,19.3348,10.9886,303.226
-15.0406,2.1997999999999998,14.584100000000001,relPos,-60.26915314482459,19.3348,10.9886,303.226
-74.0828001,4.6391635,2566167,absPos,-60.171752385171935,19.3348,10.9886,303.226
-74.0828001,4.6391635,2566167,absPos,-60.14744130668339,19.3348,10.9886,303.226
-74.0828001,4.6391635,2566167,absPos,-60.21673721253218,19.3348,10.9886,303.226
-74.0828001,4.6391635,2566167,absPos,-60.174465319609496,19.3348,10.9886,303.254
-74.0828001,4.6391635,2566167,absPos,-60.1632850510927,19.3348,10.9886,303.254
-74.0828001,4.6391635,2566167,absPos,-60.35372056271279,18.7334,10.7204,303.254
-74.0828001,4.6391635,2566167,absPos,-60.01804578037052,18.7334,10.7204,303.254
-74.0828001,4.6391635,2566167,absPos,-59.88908173156588,18.7334,10.7204,303.254
-74.0828001,4.6391635,2566167,absPos,-59.925370231630666,18.7334,10.7204,303.201
-74.0828006,4.6391639,2566058,absPos,-60.01499246843675,18.7334,10.7204,303.201
-14.9716,2.1034,14.816300000000002,relPos,-60.056983581565845,18.7334,10.7204,303.201
-14.9716,2.1034,14.816300000000002,relPos,-60.31034547535824,18.7334,10.7204,303.201
-14.9716,2.1034,14.816300000000002,relPos,-60.01861101946083,18.7334,10.7204,303.201
-14.9716,2.1034,14.816300000000002,relPos,-60.16126534989908,20.2249,11.5237,303.499
-14.9716,2.1034,14.816300000000002,relPos,-60.3075672132929,20.2249,11.5237,303.499
-14.9716,2.1034,14.816300000000002,relPos,-60.057303757613,20.2249,11.5237,303.499
-14.9716,2.1034,14.816300000000002,relPos,-60.17986604425771,20.2249,11.5237,303.499
-14.9716,2.1034,14.816300000000002,relPos,-60.258753118460916,20.2249,11.5237,303.499
-14.9716,2.1034,14.816300000000002,relPos,-60.055653102741175,20.2249,11.5237,303.499
-74.082801,4.6391642,2565964,absPos,-60.08622865542385,20.2249,11.5237,303.308
-74.082801,4.6391642,2565964,absPos,-60.19082149675814,20.2249,11.5237,303.308
-74.082801,4.6391642,2565964,absPos,-60.0360315538154,20.0631,11.5784,303.308
-74.082801,4.6391642,2565964,absPos,-60.069538768776845,20.0631,11.5784,303.308
