XZ,YZ,MAG,PowerRx
90.2664,87.869,164.476,-inf
90.2664,87.869,164.476,-42.00474049593484
90.2664,87.869,164.476,-41.972290636705054
90.2677,87.5917,164.802,-42.059196194151134
90.2677,87.5917,164.802,-42.06346061764145
90.2677,87.5917,164.802,-41.997284176744934
90.2677,87.5917,164.802,-41.96314580922734
90.2677,87.5917,164.802,-41.98810472986284
90.2677,87.5917,165.012,-41.91590765157606
90.2677,87.5917,165.012,-41.967737874947915
90.2677,87.5917,165.012,-42.079577031931464
90.2702,87.5691,165.012,-42.054961947284184
90.2702,87.5691,165.012,-42.032167889103185
90.2702,87.5691,164.687,-42.06757058989403
90.2702,87.5691,164.687,-42.02566237107863
90.2702,87.5691,164.687,-42.13843866903423
90.2702,87.5691,164.687,-42.08302904606469
90.2702,87.5691,164.687,-42.022044850332875
90.2702,87.8389,164.687,-42.06923583199172
90.2702,87.8389,164.499,-41.95832979425043
90.2702,87.8389,164.499,-41.96752163959254
90.2702,87.8389,164.499,-41.954765115951915
90.2702,87.8389,164.499,-41.96415149976454
90.2702,87.8389,164.499,-41.8926759054457
90.2702,87.8389,164.899,-41.91968791218723
90.2702,87.8389,164.899,-41.87204917844626
90.0,88.3634,164.899,-41.979369542048424
90.0,88.3634,164.899,-41.93381342428232
90.0,88.3634,164.899,-41.983855934300536
90.0,88.3634,164.899,-41.86850114543718
90.0,88.3634,164.899,-41.96668476111343
90.0,88.3634,164.899,-41.84343505449804
90.0,88.3634,164.899,-41.89068567417653
90.0,88.3634,164.899,-41.85781896924488
90.0,88.3634,164.899,-41.81881961897335
90.269,87.5805,164.899,-41.87568345546296
90.269,87.5805,165.124,-41.893478178609946
90.269,87.5805,165.124,-41.98283943553244
90.269,87.5805,165.124,-41.81980684732772
90.269,87.5805,165.124,-41.88594381415564
90.269,87.5805,165.124,-41.90033056345571
90.269,87.5805,164.802,-41.959775340572314
90.269,87.5805,164.802,-41.860973573146794
90.269,87.5805,164.802,-41.873247700717826
90.269,87.5805,164.802,-41.78508133482489
90.269,87.5805,164.802,-41.872796582252676
90.269,87.5805,164.802,-41.830487331726616
90.269,87.5805,163.937,-41.92710934253135
90.269,87.5805,163.937,-41.82953318585332
90.269,87.5805,163.937,-41.87992267487075
90.269,87.5805,163.937,-41.83131523063578
90.269,87.5805,163.937,-41.89368220623335
90.2702,88.1088,164.629,-41.95009545630381
90.2702,88.1088,164.629,-41.9046217863995
90.2702,88.1088,164.629,-41.969619203974815
90.2702,88.1088,164.629,-41.917646261070054
90.2702,88.1088,164.629,-41.92408351390645
90.2702,88.1088,165.167,-42.05968106012258
90.2702,88.1088,165.167,-41.99769648205881
90.2702,88.1088,165.167,-42.116817259988785
90.269,87.312,165.167,-41.99145977759553
90.269,87.312,165.167,-42.04599901169341
