relPosN,relPosE,relPosD,accN,accE,accD,pos_type
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-74.08283167,4.639361035,2614898.4,2610223.8,103.6,72.1,absPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-96.81,-217.15,10.59,59.5,84.8,72.1,relPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
-74.082831991,4.639360878,2614916.7,2610242.1,102.6,71.7,absPos
