relPosN/lon,relPosE/lat,relPosD/height,accN/hMSL,accE/hAcc,accD/vAcc,pos_type
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
-74.081866453,4.639698978,2579580.4,2574907.0,14.1,10.0,absPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
159.56,258.68,-98.4,10.0,10.0,10.0,relPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
-74.081866409,4.63969898,2579586.7,2574913.3,14.1,10.0,absPos
