disN,disE,disD
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.1805,0.3582,-1.9438
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
-0.18710000000000002,0.3556,-1.9382
