"Each row has the same USRP gain, is a vector of measured power
 First row is the gen power range"
USRP Gain / Gen Power,-40.0,-38.9,-37.9,-36.8,-35.8,-34.7,-33.7,-32.6,-31.6,-30.5,-29.5,-28.4,-27.4,-26.3,-25.3,-24.2,-23.2,-22.1,-21.1,-20.0
0.0,-35.10946241323448,-34.01976841410913,-33.06896436369251,-31.993127558230423,-30.950773001485476,-29.813066645437328,-28.841419771175566,-27.703372605328628,-26.727552794017605,-25.62690346790013,-24.664261439432337,-23.591185783605333,-22.599413887879273,-21.52159947682698,-20.530932007421033,-19.44977250290784,-18.470551567766115,-16.720668948457565,-16.246879741735544,-15.177706937609006
0.5,-35.13514404162326,-34.04861186611004,-33.086519648326316,-32.00959614016698,-30.975498846822454,-29.8395461236384,-28.860703082744116,-27.72697765977292,-26.75012600104311,-25.645039411876162,-24.68212892047992,-23.615803058340454,-22.62001790177991,-21.54198454395503,-20.553760649233432,-19.469548620980618,-18.49576331656861,-17.248479824433385,-16.26723157961211,-15.111826142555703
1.1,-35.16460807723222,-34.06526272665945,-33.020853545336216,-31.957410905617945,-30.897287844276168,-29.76918336034994,-28.790257799820335,-27.651496022253827,-26.681397065467074,-25.581967294881327,-24.61620538584866,-23.544921638616106,-22.54917662380209,-21.47340403407771,-20.483611099111165,-19.40348817869464,-18.420000773537588,-16.638182749483455,-16.196186770380486,-15.127779542818022
1.6,-35.08540272153385,-33.98760762388608,-33.04240274475417,-31.97423704960268,-30.92820065258179,-29.794377904558672,-28.813026181329036,-27.676271247101813,-26.698594779410296,-25.60007707385416,-24.6321784393673,-23.562821410629837,-22.56953509534122,-21.493478767605897,-20.508417218783272,-19.425464683367792,-18.449090230892676,-16.666402855762538,-16.218487964327874,-15.146975292707541
2.1,-35.115781579828784,-34.01725630192789,-33.05591941817039,-31.98588109287063,-30.951413912865036,-29.816036037644004,-28.83045386740567,-27.691536525036156,-26.723118141913325,-25.624418944776732,-24.65446186764977,-23.584036723503573,-22.590076396521752,-21.507923912975535,-20.521849342063607,-19.444807508343537,-18.465983125070785,-17.221270811609394,-16.23815262322389,-15.167223039468604
2.6,-35.12908175878987,-34.03674487701483,-33.08373556613667,-32.017559994891165,-30.962403656191032,-29.83168460180743,-28.853486244143674,-27.71622845646233,-26.744177980406114,-25.649127394935782,-24.67851910347633,-23.51196010694148,-22.61406227913515,-21.53528688458026,-20.45345107311905,-19.465171082832054,-18.48760560421815,-16.730816794383916,-16.160245640851272,-15.099889715469425
3.2,-34.01348730660002,-32.91693619159793,-31.955796898667586,-30.889363797985958,-29.83867374965925,-28.70799850865335,-27.73730477126143,-26.59829429579159,-25.624293497766224,-24.517635245534024,-23.555778086493294,-22.486235969685243,-21.486088528235573,-20.408016999467087,-19.42325978845381,-18.346413395409755,-17.366681815450114,-16.11737781534809,-15.14197358052439,-14.41300540248631
3.7,-34.03314230881812,-32.93025555318611,-31.98475431512221,-30.908130261162388,-29.861450556189602,-28.730053448204853,-27.748221918853176,-26.619302577200944,-25.645020531962594,-24.54482675097727,-23.57575572457916,-22.503903220964894,-21.50757984666935,-20.430047571632798,-19.443293840375663,-18.363852121971178,-17.38561040157892,-16.025581719399145,-15.157998637120674,-13.892687994861358
4.2,-32.99139404352968,-31.905836402101507,-31.06002168292281,-29.983469553894246,-28.929615064768495,-27.687990518007165,-26.821718934295394,-25.575346687851983,-24.59739303298958,-23.49608127318219,-22.531023502995133,-21.460126247483558,-20.465678194767875,-19.468887718222927,-18.403162608537173,-17.322664911969753,-16.344367449666358,-15.094030156889488,-13.760793331330785,-13.04323202010741
4.7,-33.009040046114606,-31.911914889096757,-30.951953191626806,-29.884558094342925,-28.83707047923006,-27.703570743626035,-26.730751505806886,-25.590822312197496,-24.618253790339942,-23.51711071806493,-22.552898727152943,-21.481726275968562,-20.48743971054558,-19.406013489275033,-18.41948393245627,-17.33400530949041,-16.35551766820839,-15.111379731913015,-13.641382395526515,-13.059325929203585
